year modules.wind.dayOfYear modules.wind.speed modules.wind.direction modules.wind.duration model.climate.co2concentration
1 1 0 0 0 416
2 1 0 0 0 419
3 1 0 0 0 422
4 355 5.9 208 87 425
5 1 0 0 0 428
6 120 6.7 346 62 431
7 1 0 0 0 435
8 1 0 0 0 438
9 276 6.1 204 40 422
10 319 6.8 221 58 445
11 1 0 0 0 449
12 1 0 0 0 452
13 171 6 354 39 456
14 1 0 0 0 460
15 1 0 0 0 464
16 294 14 337 89 468
17 180 7.5 297 50 472
18 1 0 0 0 476
19 177 5.2 300 49 481
20 1 0 0 0 485
21 1 0 0 0 489
22 1 0 0 0 494
23 1 0 0 0 499
24 1 0 0 0 504
25 156 5.2 199 44 508
26 1 0 0 0 513
27 1 0 0 0 519
28 1 0 0 0 524
29 314 11 45 72 529
30 153 7.4 147 33 535
31 1 0 0 0 541
32 1 0 0 0 546
33 1 0 0 0 552
34 281 7.1 227 88 558
35 227 6.1 7 81 564
36 1 0 0 0 571
37 1 0 0 0 577
38 1 0 0 0 583
39 1 0 0 0 583
40 128 5.1 199 64 590
41 94 5.7 174 37 597
42 1 0 0 0 604
43 1 0 0 0 611
44 1 0 0 0 618
45 1 0 0 0 625
46 286 6.4 254 55 632
47 1 0 0 0 639
48 1 0 0 0 647
49 1 0 0 0 654
50 301 19 10 138 662
51 1 0 0 0 669
52 1 0 0 0 677
53 1 0 0 0 685
54 189 6.8 167 32 693
55 1 0 0 0 701
56 1 0 0 0 709
57 1 0 0 0 717
58 295 6.1 307 87 725
59 165 5.7 197 58 733
60 1 0 0 0 741
61 1 0 0 0 750
62 87 5.5 309 89 758
63 1 0 0 0 767
64 1 0 0 0 775
65 178 6.6 156 68 784
66 139 5.7 126 50 792
67 1 0 0 0 801
68 1 0 0 0 810
69 61 5.3 167 53 818
70 1 0 0 0 827
71 1 0 0 0 836
72 180 7.5 297 50 845
73 1 0 0 0 854
74 11 6.1 215 89 863
75 1 0 0 0 872
76 102 6.7 251 68 881
77 1 0 0 0 890
78 107 6.6 318 38 899
79 1 0 0 0 908
80 1 0 0 0 917
81 1 0 0 0 927
82 14 12 55 62 936
83 68 5.4 180 88 936
84 1 0 0 0 936
85 1 0 0 0 936
86 80 6.8 291 59 936
87 1 0 0 0 936
88 1 0 0 0 936
89 26 6 56 68 936
90 245 5.1 221 74 936
91 1 0 0 0 936
92 1 0 0 0 936
93 94 11 337 99 936
94 1 0 0 0 936
95 121 5.8 75 69 936
96 1 0 0 0 936
97 21 6.9 275 79 936
98 1 0 0 0 936
99 1 0 0 0 936
100 61 7.6 75 99 936
101 1 0 0 0 936
