year modules.wind.dayOfYear modules.wind.speed modules.wind.direction modules.wind.duration model.climate.co2concentration
1 1 0 0 0 332
2 1 0 0 0 332
3 1 0 0 0 332
4 355 5.9 208 87 332
5 1 0 0 0 332
6 120 6.7 346 62 332
7 1 0 0 0 332
8 1 0 0 0 332
9 276 6.1 204 40 332
10 319 6.8 221 58 332
11 1 0 0 0 332
12 1 0 0 0 332
13 171 6 354 39 332
14 1 0 0 0 332
15 1 0 0 0 332
16 294 14 337 89 332
17 180 7.5 297 50 468
18 1 0 0 0 332
19 177 5.2 300 49 332
20 1 0 0 0 332
21 1 0 0 0 332
22 1 0 0 0 332
23 1 0 0 0 332
24 1 0 0 0 332
25 156 5.2 199 44 332
26 1 0 0 0 332
27 1 0 0 0 332
28 1 0 0 0 332
29 314 11 45 72 332
30 153 7.4 147 33 332
31 1 0 0 0 332
32 1 0 0 0 332
33 1 0 0 0 332
34 281 7.1 227 88 332
35 227 6.1 7 81 332
36 1 0 0 0 332
37 1 0 0 0 332
38 1 0 0 0 332
39 1 0 0 0 332
40 128 5.1 199 64 332
41 94 5.7 174 37 332
42 1 0 0 0 332
43 1 0 0 0 332
44 1 0 0 0 332
45 1 0 0 0 332
46 286 6.4 254 55 332
47 1 0 0 0 332
48 1 0 0 0 332
49 1 0 0 0 332
50 301 21 10 188 332
51 1 0 0 0 332
52 1 0 0 0 332
53 1 0 0 0 332
54 189 6.8 167 32 332
55 1 0 0 0 332
56 1 0 0 0 332
57 1 0 0 0 332
58 295 6.1 307 87 332
59 165 5.7 197 58 332
60 1 0 0 0 332
61 1 0 0 0 332
62 87 5.5 309 89 332
63 1 0 0 0 332
64 1 0 0 0 332
65 178 6.6 156 68 332
66 139 5.7 126 50 332
67 1 0 0 0 332
68 1 0 0 0 332
69 61 5.3 167 53 332
70 1 0 0 0 332
71 1 0 0 0 332
72 180 7.5 297 50 332
73 1 0 0 0 332
74 11 6.1 215 89 332
75 1 0 0 0 332
76 102 6.7 251 68 332
77 1 0 0 0 332
78 107 6.6 318 38 332
79 1 0 0 0 332
80 1 0 0 0 332
81 1 0 0 0 332
82 14 12 55 62 332
83 68 5.4 180 88 332
84 1 0 0 0 332
85 1 0 0 0 332
86 80 6.8 291 59 332
87 1 0 0 0 332
88 1 0 0 0 332
89 26 6 56 68 332
90 245 5.1 221 74 332
91 1 0 0 0 332
92 1 0 0 0 332
93 94 11 337 99 332
94 1 0 0 0 332
95 121 5.8 75 69 332
96 1 0 0 0 332
97 21 6.9 275 79 332
98 1 0 0 0 332
99 1 0 0 0 332
100 61 7.6 75 99 332
101 1 0 0 0 332
