"","time","n.risk","n.event","n.censor","surv","std.err","upper","lower","Management","Climate","n_sims","sim_ids"
"1",17,100,1,0,0.985049269856351,0.015374006323003,1,0.95536727402166,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"2",20,99,7,0,0.880842209432741,0.052230021404927,0.971013111098766,0.790671307766717,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"3",22,92,3,0,0.836499806767567,0.0659664789796562,0.944652475362837,0.728347138172297,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"4",23,89,10,0,0.691875571994287,0.114436639415335,0.847057514528353,0.53669362946022,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"5",25,79,4,0,0.636059024791449,0.135700081435531,0.805229908645166,0.466888140937733,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"6",26,75,15,0,0.439206481575183,0.231352283799401,0.638361210234023,0.240051752916343,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"7",27,60,2,0,0.414539087581729,0.246727959376671,0.615001034974095,0.214077140189363,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"8",28,58,2,0,0.390590194781728,0.26248095413417,0.591530576910652,0.189649812652804,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"9",32,56,6,0,0.322977352483458,0.312284363212193,0.520660842566612,0.125293862400303,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
"10",33,50,6,0,0.261762816863028,0.366419410626078,0.449752717515407,0.0737729162106486,"ADAPTATION","rcp45",20,"ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w5; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w6; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w7; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w8; ADAPTATION_rcp45_EC-EARTH_RACMO22E-r1_w9; ADAPTATION_rcp45_HadGEM2_CCLM_w5; ADAPTATION_rcp45_HadGEM2_CCLM_w6; ADAPTATION_rcp45_HadGEM2_CCLM_w7; ADAPTATION_rcp45_HadGEM2_CCLM_w8; ADAPTATION_rcp45_HadGEM2_CCLM_w9; ADAPTATION_rcp45_MPI_CCLM_w5; ADAPTATION_rcp45_MPI_CCLM_w6; ADAPTATION_rcp45_MPI_CCLM_w7; ADAPTATION_rcp45_MPI_CCLM_w8; ADAPTATION_rcp45_MPI_CCLM_w9; ADAPTATION_rcp45_NCC_HIRHAM5_w5; ADAPTATION_rcp45_NCC_HIRHAM5_w6; ADAPTATION_rcp45_NCC_HIRHAM5_w7; ADAPTATION_rcp45_NCC_HIRHAM5_w8; ADAPTATION_rcp45_NCC_HIRHAM5_w9"
