"time","Management","Climate","Model","Windcase","surv","lower","upper"
15,"ADAPTATION","rcp45","EC-EARTH_RACMO22E-r1","w5",0.993132280253808,0.983815408130911,1
15,"BIOECONOMY","rcp85","MPI_CCLM","w5",0.96764991674724,0.928670232457684,1
15,"CONSERVATION","rcp85","HadGEM2_CCLM","w6",0.984801755908875,0.964841908253216,1
15,"CONSERVATION","rcp45","MPI_CCLM","w7",0.929525718624685,0.849509492011664,1
15,"CONSERVATION","rcp85","NCC_HIRHAM5","w7",0.989611493550494,0.975730698477486,1
15,"UNMANAGED","rcp85","EC-EARTH_RACMO22E-r1","w5",0.951389353263248,0.89426627623237,1
15,"UNMANAGED","rcp45","HadGEM2_CCLM","w6",0.992071862287895,0.981369856827008,1
15,"UNMANAGED","rcp85","MPI_CCLM","w6",0.962729496142059,0.918193297453466,1
15,"UNMANAGED","rcp45","NCC_HIRHAM5","w7",0.982394896610453,0.959209813706674,1
15,"ADAPTATION","rcp85","EC-EARTH_RACMO22E-r1","w5",0.918735009391793,0.826904912309106,1
15,"ADAPTATION","rcp45","HadGEM2_CCLM","w6",0.994626184155719,0.987270113402792,1
15,"ADAPTATION","rcp85","MPI_CCLM","w6",0.97461545020151,0.942936479160857,1
15,"ADAPTATION","rcp45","NCC_HIRHAM5","w7",0.98809686733945,0.972247175249298,1
15,"BAU","rcp45","EC-EARTH_RACMO22E-r1","w5",0.944460937266467,0.878324150606876,1
15,"BAU","rcp85","HadGEM2_CCLM","w5",0.991868117386371,0.980907451141573,1
15,"BAU","rcp45","MPI_CCLM","w6",0.961786373372196,0.915150234630551,1
15,"BAU","rcp85","NCC_HIRHAM5","w6",0.993795712888004,0.985370880853704,1
15,"BAU","refclim","refclim","w9",0.970738388815799,0.934614753535317,1
15,"BIOECONOMY","rcp45","HadGEM2_CCLM","w5",0.986208174129881,0.967956077204931,1
15,"BIOECONOMY","rcp45","MPI_CCLM","w6",0.935877350221353,0.860489111327032,1
15,"BIOECONOMY","rcp85","NCC_HIRHAM5","w6",0.992383158048647,0.982312024966802,1
15,"BIOECONOMY","refclim","refclim","w9",0.964171876838959,0.921357147986317,1
15,"CONSERVATION","rcp45","EC-EARTH_RACMO22E-r1","w8",0.983151692058546,0.961445210397126,1
15,"CONSERVATION","rcp85","EC-EARTH_RACMO22E-r1","w8",0.92211723192542,0.834027646147632,1
15,"CONSERVATION","rcp45","EC-EARTH_RACMO22E-r1","w9",0.988480561549196,0.973405331931553,1
15,"CONSERVATION","rcp85","EC-EARTH_RACMO22E-r1","w9",0.946212300862001,0.883249981829395,1
15,"CONSERVATION","rcp45","HadGEM2_CCLM","w5",0.991207583959743,0.979619659567178,1
15,"CONSERVATION","rcp85","HadGEM2_CCLM","w5",0.95873382480394,0.909747393830352,1
15,"CONSERVATION","rcp45","HadGEM2_CCLM","w6",0.980486120780003,0.955460689223584,1
15,"CONSERVATION","rcp45","HadGEM2_CCLM","w7",0.910247970699092,0.810159624669589,1
15,"CONSERVATION","rcp85","HadGEM2_CCLM","w7",0.998839050159742,0.997255521994326,1
